cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3
199908,NEW HORIZON,NH,1,CB,1,P,1999-08-07T20:19:00Z,32.956665,-117.3,93.3,26.7,3.9,232.8,1.0,Chromis punctipinnis,Blacksmith,170085,626,5,19.5,
199908,NEW HORIZON,NH,1,CB,1,P,1999-08-07T20:19:00Z,32.956665,-117.3,93.3,26.7,3.9,232.8,1.0,Engraulis mordax,Northern anchovy,161828,31,5,19.5,
199908,NEW HORIZON,NH,1,CB,1,S,1999-08-07T20:19:00Z,32.956665,-117.3,93.3,26.7,3.9,232.8,1.0,Chromis punctipinnis,Blacksmith,170085,626,4,15.6,
199908,NEW HORIZON,NH,1,CB,1,S,1999-08-07T20:19:00Z,32.956665,-117.3,93.3,26.7,3.9,232.8,1.0,Engraulis mordax,Northern anchovy,161828,31,3,11.7,
199908,NEW HORIZON,NH,1,PV,1,S,1999-08-07T19:45:00Z,32.956665,-117.3,93.3,26.7,181.68,3.8,1.0,Engraulis mordax,Northern anchovy,161828,31,2,363.36,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,4.59,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Engraulis mordax,Northern anchovy,161828,31,7,32.13,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Hypsoblennius jenkinsi,Mussel blenny,171160,853,1,4.59,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Paralabrax,Kelp and sand basses,167830,431,2,9.18,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,1,4.59,
199908,NEW HORIZON,NH,2,CB,1,P,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Scomber japonicus,Pacific mackerel (chub mackerel),172412,574,2,9.18,
199908,NEW HORIZON,NH,2,CB,1,S,1999-08-08T00:09:00Z,32.911667,-117.395,93.3,28.0,4.59,438.1,1.0,Engraulis mordax,Northern anchovy,161828,31,5,22.95,
199908,NEW HORIZON,NH,3,CB,1,P,1999-08-08T04:13:00Z,32.845,-117.53167,93.3,30.0,4.58,454.1,1.0,Engraulis mordax,Northern anchovy,161828,31,5,22.9,
199908,NEW HORIZON,NH,3,CB,1,P,1999-08-08T04:13:00Z,32.845,-117.53167,93.3,30.0,4.58,454.1,1.0,Lampanyctus ritteri,Broadfin lampfish,623745,260,1,4.58,
199908,NEW HORIZON,NH,3,CB,1,P,1999-08-08T04:13:00Z,32.845,-117.53167,93.3,30.0,4.58,454.1,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,4.58,
199908,NEW HORIZON,NH,3,PV,1,S,1999-08-08T03:43:00Z,32.845,-117.53167,93.3,30.0,199.93,3.5,1.0,Engraulis mordax,Northern anchovy,161828,31,1,199.93,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Chromis punctipinnis,Blacksmith,170085,626,1,4.8,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Diogenichthys atlanticus,Longfin lanternfish,162676,239,2,9.6,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Engraulis mordax,Northern anchovy,161828,31,9,43.2,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Lampanyctus ritteri,Broadfin lampfish,623745,260,3,14.4,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,5,24.0,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Teleostei,Unidentified Teliost,161105,1,1,4.8,
199908,NEW HORIZON,NH,4,CB,1,P,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,11,52.8,
199908,NEW HORIZON,NH,4,CB,1,S,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,0.483,Engraulis mordax,Northern anchovy,161828,31,1,9.937888,
199908,NEW HORIZON,NH,4,CB,1,S,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,0.483,Protomyctophum crockeri,California flashlightfish,162685,288,1,9.937888,
199908,NEW HORIZON,NH,4,CB,1,S,1999-08-08T08:19:00Z,32.683334,-117.87,93.3,35.0,4.8,438.4,0.483,Triphoturus mexicanus,Mexican lampfish,162766,301,2,19.875776,
199908,NEW HORIZON,NH,4,PV,1,S,1999-08-08T07:51:00Z,32.683334,-117.87,93.3,35.0,159.2,4.2,1.0,Engraulis mordax,Northern anchovy,161828,31,1,159.2,
199908,NEW HORIZON,NH,5,CB,1,P,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,1.0,Bathylagoides wesethi,Snubnose blacksmelt,623380,71,1,4.85,
199908,NEW HORIZON,NH,5,CB,1,P,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,1.0,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,4.85,
199908,NEW HORIZON,NH,5,CB,1,P,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,1.0,Myctophidae,Lanternfishes,162575,215,1,4.85,
199908,NEW HORIZON,NH,5,CB,1,P,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,2,9.7,
199908,NEW HORIZON,NH,5,CB,1,P,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,1.0,Symbolophorus californiensis,California lanternfish,623871,296,1,4.85,
199908,NEW HORIZON,NH,5,CB,1,S,1999-08-08T12:16:00Z,32.513332,-118.21333,93.3,40.0,4.85,429.9,0.49,Protomyctophum crockeri,California flashlightfish,162685,288,1,9.897959,
199908,NEW HORIZON,NH,6,CB,1,P,1999-08-08T16:11:00Z,32.346664,-118.55666,93.3,45.0,4.82,439.4,1.0,Chauliodus macouni,Pacific viperfish,162279,156,1,4.82,
199908,NEW HORIZON,NH,6,CB,1,P,1999-08-08T16:11:00Z,32.346664,-118.55666,93.3,45.0,4.82,439.4,1.0,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,4.82,
199908,NEW HORIZON,NH,6,CB,1,P,1999-08-08T16:11:00Z,32.346664,-118.55666,93.3,45.0,4.82,439.4,1.0,Lipolagus ochotensis,Popeye blacksmelt,623625,68,1,4.82,
199908,NEW HORIZON,NH,6,CB,1,S,1999-08-08T16:11:00Z,32.346664,-118.55666,93.3,45.0,4.82,439.4,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,1,4.82,
199908,NEW HORIZON,NH,7,CB,1,P,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Danaphos oculatus,Bottlelight,162232,84,1,5.16,
199908,NEW HORIZON,NH,7,CB,1,P,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Lipolagus ochotensis,Popeye blacksmelt,623625,68,1,5.16,
199908,NEW HORIZON,NH,7,CB,1,P,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Symbolophorus californiensis,California lanternfish,623871,296,1,5.16,
199908,NEW HORIZON,NH,7,CB,1,S,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Chromis punctipinnis,Blacksmith,170085,626,1,5.16,
199908,NEW HORIZON,NH,7,CB,1,S,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Sebastolobus altivelis,Longspine thornyhead,166784,709,1,5.16,
199908,NEW HORIZON,NH,7,CB,1,S,1999-08-08T21:29:00Z,32.186665,-118.88167,93.3,50.0,5.16,408.4,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,3,15.48,
199908,NEW HORIZON,NH,8,CB,1,P,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Diaphus theta,California headlightfish,162584,227,1,5.22,
199908,NEW HORIZON,NH,8,CB,1,P,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Lestidiops ringens,Slender barracudina,644717,311,1,5.22,
199908,NEW HORIZON,NH,8,CB,1,P,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Scopelosaurus,Paperbones,162565,196,1,5.22,
199908,NEW HORIZON,NH,8,CB,1,P,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Symbolophorus californiensis,California lanternfish,623871,296,2,10.44,
199908,NEW HORIZON,NH,8,CB,1,P,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,5.22,
199908,NEW HORIZON,NH,8,CB,1,S,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,1,5.22,
199908,NEW HORIZON,NH,8,CB,1,S,1999-08-09T01:37:00Z,32.015,-119.23167,93.3,55.0,5.22,401.2,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,5.22,
199908,NEW HORIZON,NH,21,CB,1,S,1999-08-12T14:42:00Z,32.085,-120.636665,90.0,70.0,5.0,426.1,0.529,Symbolophorus californiensis,California lanternfish,623871,296,1,9.451796,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Diaphus,Headlightfishes,162583,228,1,5.05,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Lipolagus ochotensis,Popeye blacksmelt,623625,68,1,5.05,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Melamphaes lugubris,Highsnout bigscale,166094,396,1,5.05,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Sebastes,Rockfishes,166705,683,1,5.05,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Tarletonbeania crenularis,Blue lanternfish,162673,299,2,10.1,
199908,NEW HORIZON,NH,22,CB,1,P,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,3,15.15,
199908,NEW HORIZON,NH,22,CB,1,S,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,0.488,Engraulis mordax,Northern anchovy,161828,31,1,10.348361,
199908,NEW HORIZON,NH,22,CB,1,S,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,0.488,Sebastes,Rockfishes,166705,683,1,10.348361,
199908,NEW HORIZON,NH,22,CB,1,S,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,0.488,Sebastolobus altivelis,Longspine thornyhead,166784,709,1,10.348361,
199908,NEW HORIZON,NH,22,CB,1,S,1999-08-12T21:52:00Z,32.41,-119.96333,90.0,60.0,5.05,421.3,0.488,Triphoturus mexicanus,Mexican lampfish,162766,301,1,10.348361,
199908,NEW HORIZON,NH,23,CB,1,P,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,1.0,Chauliodus macouni,Pacific viperfish,162279,156,1,4.84,
199908,NEW HORIZON,NH,23,CB,1,P,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,1.0,Diaphus,Headlightfishes,162583,228,1,4.84,
199908,NEW HORIZON,NH,23,CB,1,P,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,1.0,Engraulis mordax,Northern anchovy,161828,31,11,53.24,
199908,NEW HORIZON,NH,23,CB,1,P,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,4,19.36,
199908,NEW HORIZON,NH,23,CB,1,S,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,0.474,Citharichthys sordidus,Pacific sanddab,172716,923,1,10.210971,
199908,NEW HORIZON,NH,23,CB,1,S,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,0.474,Engraulis mordax,Northern anchovy,161828,31,5,51.05485,
199908,NEW HORIZON,NH,23,CB,1,S,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,0.474,Lampanyctus regale,Pinpoint lampfish,623744,259,1,10.210971,
199908,NEW HORIZON,NH,23,CB,1,S,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,0.474,Trachipterus altivelis,King-of-the-salmon,166341,382,1,10.210971,
199908,NEW HORIZON,NH,23,CB,1,S,1999-08-13T03:14:00Z,32.65,-119.48167,90.0,53.0,4.84,438.7,0.474,Triphoturus mexicanus,Mexican lampfish,162766,301,2,20.421942,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Citharichthys sordidus,Pacific sanddab,172716,923,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Engraulis mordax,Northern anchovy,161828,31,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Leuroglossus stilbius,California smoothtongue,162096,72,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Sardinops sagax,Pacific sardine (pilchard),161729,19,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Sebastes,Rockfishes,166705,683,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Sebastolobus altivelis,Longspine thornyhead,166784,709,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Tarletonbeania crenularis,Blue lanternfish,162673,299,1,4.77,
199908,NEW HORIZON,NH,24,CB,1,P,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,3,14.31,
199908,NEW HORIZON,NH,24,CB,1,S,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,0.489,Bathylagoides wesethi,Snubnose blacksmelt,623380,71,1,9.7546015,
199908,NEW HORIZON,NH,24,CB,1,S,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,0.489,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,9.7546015,
199908,NEW HORIZON,NH,24,CB,1,S,1999-08-13T08:51:00Z,32.913334,-118.941666,90.0,45.0,4.77,438.6,0.489,Engraulis mordax,Northern anchovy,161828,31,1,9.7546015,
199908,NEW HORIZON,NH,25,CB,1,P,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Cololabis saira,Pacific saury,165609,166,2,9.8,
199908,NEW HORIZON,NH,25,CB,1,P,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,P,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Engraulis mordax,Northern anchovy,161828,31,34,166.6,
199908,NEW HORIZON,NH,25,CB,1,P,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Sphyraena argentea,Pacific barracuda (California barracuda),170426,486,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,P,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,4,19.6,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Chauliodus macouni,Pacific viperfish,162279,156,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Cheilopogon pinnatibarbatus,California flyingfish,616685,178,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Engraulis mordax,Northern anchovy,161828,31,17,83.3,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Sardinops sagax,Pacific sardine (pilchard),161729,19,1,4.9,
199908,NEW HORIZON,NH,25,CB,1,S,1999-08-13T14:32:00Z,33.186665,-118.386665,90.0,37.0,4.9,424.4,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,4,19.6,
199908,NEW HORIZON,NH,25,PV,1,S,1999-08-13T14:07:00Z,33.186665,-118.386665,90.0,37.0,204.15,3.4,1.0,Engraulis mordax,Northern anchovy,161828,31,1,204.15,
199908,NEW HORIZON,NH,26,CB,1,P,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Chromis punctipinnis,Blacksmith,170085,626,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,P,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Engraulis mordax,Northern anchovy,161828,31,23,112.7,
199908,NEW HORIZON,NH,26,CB,1,P,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Lythrypnus dalli,Bluebanded goby,171899,799,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,P,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Paralabrax,Kelp and sand basses,167830,431,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,P,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,2,9.8,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Chromis punctipinnis,Blacksmith,170085,626,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Diaphus,Headlightfishes,162583,228,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Engraulis mordax,Northern anchovy,161828,31,29,142.1,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Lampanyctus ritteri,Broadfin lampfish,623745,260,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Lestidiops ringens,Slender barracudina,644717,311,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Paralabrax,Kelp and sand basses,167830,431,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Sebastes,Rockfishes,166705,683,1,4.9,
199908,NEW HORIZON,NH,26,CB,1,S,1999-08-13T16:41:00Z,33.253334,-118.253334,90.0,35.0,4.9,433.2,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,4.9,
199908,NEW HORIZON,NH,27,CB,1,P,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Chromis punctipinnis,Blacksmith,170085,626,4,18.48,
199908,NEW HORIZON,NH,27,CB,1,P,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Citharichthys stigmaeus,Speckled sanddab,172717,925,2,9.24,
199908,NEW HORIZON,NH,27,CB,1,P,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Engraulis mordax,Northern anchovy,161828,31,6,27.72,
199908,NEW HORIZON,NH,27,CB,1,P,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Hypsoblennius jenkinsi,Mussel blenny,171160,853,1,4.62,
199908,NEW HORIZON,NH,27,CB,1,P,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Paralabrax,Kelp and sand basses,167830,431,1,4.62,
199908,NEW HORIZON,NH,27,CB,1,S,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Chromis punctipinnis,Blacksmith,170085,626,4,18.48,
199908,NEW HORIZON,NH,27,CB,1,S,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Engraulis mordax,Northern anchovy,161828,31,2,9.24,
199908,NEW HORIZON,NH,27,CB,1,S,1999-08-14T00:15:00Z,33.485,-117.76833,90.0,28.0,4.62,108.5,1.0,Sebastes,Rockfishes,166705,683,2,9.24,
199908,NEW HORIZON,NH,28,CB,1,P,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,5.16,
199908,NEW HORIZON,NH,28,CB,1,P,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Engraulis mordax,Northern anchovy,161828,31,23,118.68,
199908,NEW HORIZON,NH,28,CB,1,P,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Halichoeres semicinctus,Rock wrasse,170511,637,1,5.16,
199908,NEW HORIZON,NH,28,CB,1,P,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,1,5.16,
199908,NEW HORIZON,NH,28,CB,1,P,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,6,30.96,
199908,NEW HORIZON,NH,28,CB,1,S,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Engraulis mordax,Northern anchovy,161828,31,13,67.08,
199908,NEW HORIZON,NH,28,CB,1,S,1999-08-14T03:03:00Z,33.41833,-117.90667,90.0,30.0,5.16,406.0,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,5.16,
199908,NEW HORIZON,NH,29,PV,1,S,1999-08-14T08:32:00Z,33.891666,-118.49,86.7,33.0,197.87,2.5,1.0,Engraulis mordax,Northern anchovy,161828,31,1,197.87,
199908,NEW HORIZON,NH,30,CB,1,P,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,1.0,Citharichthys stigmaeus,Speckled sanddab,172717,925,2,10.14,
199908,NEW HORIZON,NH,30,CB,1,P,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,1.0,Engraulis mordax,Northern anchovy,161828,31,2,10.14,
199908,NEW HORIZON,NH,30,CB,1,P,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,1.0,Sebastes,Rockfishes,166705,683,1,5.07,
199908,NEW HORIZON,NH,30,CB,1,S,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,0.516,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,9.825582,
199908,NEW HORIZON,NH,30,CB,1,S,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,0.516,Leuroglossus stilbius,California smoothtongue,162096,72,1,9.825582,
199908,NEW HORIZON,NH,30,CB,1,S,1999-08-14T11:37:00Z,33.823334,-118.628334,86.7,35.0,5.07,425.8,0.516,Sebastes,Rockfishes,166705,683,1,9.825582,
199908,NEW HORIZON,NH,32,CB,1,P,1999-08-14T20:31:00Z,33.663334,-118.975,86.7,40.0,4.7,443.6,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,1,4.7,
199908,NEW HORIZON,NH,32,CB,1,P,1999-08-14T20:31:00Z,33.663334,-118.975,86.7,40.0,4.7,443.6,1.0,Sebastes,Rockfishes,166705,683,1,4.7,
199908,NEW HORIZON,NH,32,CB,1,S,1999-08-14T20:31:00Z,33.663334,-118.975,86.7,40.0,4.7,443.6,1.0,Protomyctophum crockeri,California flashlightfish,162685,288,2,9.4,
199908,NEW HORIZON,NH,33,CB,1,P,1999-08-15T00:40:00Z,33.491665,-119.31834,86.7,45.0,4.81,427.6,1.0,Lampanyctus,,162632,261,1,4.81,
199908,NEW HORIZON,NH,33,CB,1,P,1999-08-15T00:40:00Z,33.491665,-119.31834,86.7,45.0,4.81,427.6,1.0,Sebastes,Rockfishes,166705,683,2,9.62,
199908,NEW HORIZON,NH,33,CB,1,P,1999-08-15T00:40:00Z,33.491665,-119.31834,86.7,45.0,4.81,427.6,1.0,Teleostei,Unidentified Teliost,161105,1,1,4.81,
199908,NEW HORIZON,NH,33,CB,1,P,1999-08-15T00:40:00Z,33.491665,-119.31834,86.7,45.0,4.81,427.6,1.0,Triphoturus mexicanus,Mexican lampfish,162766,301,1,4.81,
199908,NEW HORIZON,NH,33,CB,1,S,1999-08-15T00:40:00Z,33.491665,-119.31834,86.7,45.0,4.81,427.6,0.483,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,9.958592,
199908,NEW HORIZON,NH,34,CB,1,P,1999-08-15T04:23:00Z,33.323334,-119.66333,86.7,50.0,3.93,138.4,1.0,Sebastes,Rockfishes,166705,683,1,3.93,
